feature_set,algorithm,n_results,n_images,macro_precision,macro_recall,macro_iou,macro_boundary_f1,pixel_accuracy,weighted_iou
xy_lab,Mean Shift,18,9,0.8246069043323744,0.8205968181582362,0.7680223070943544,0.5135978895235618,0.9205444448639952,0.8490600552566393
xy_hsv,Mean Shift,18,9,0.8334671121884834,0.8245526085437934,0.7665235650688519,0.501204070258811,0.9100778932884486,0.8316422089233382
lab_texture_glcm,Mean Shift,6,3,0.8476729359944953,0.7959227241363545,0.7504885233831535,0.4462257563305662,0.9299959436518342,0.8311191724846024
hsv_texture_glcm,Mean Shift,6,3,0.8220539950741635,0.8162882510970735,0.7464659694351119,0.4336247474715504,0.9175112057236022,0.8302250194851616
LAB_only,Mean Shift,6,1,0.7468835277860162,0.7890694875111071,0.7109527282650592,0.5515780253656052,0.8602364793771043,0.7924966548216846
xy_lab_texture_glcm,Mean Shift,6,3,0.799965877032303,0.7407509566218592,0.6865382582180524,0.4303666777832067,0.90867429863696,0.7747947624060386
LAB_XY,KMeans,1,1,0.6986875401333319,0.7266608545028772,0.6775043834575626,0.482217233577507,0.923778803661616,0.8646517937620919
xy_hsv_texture_glcm,Mean Shift,6,3,0.8202927253249349,0.7306905967611823,0.6663928161828268,0.4285938557887709,0.901377384415745,0.7552484551647128
