image_id,selected_from_own_gt_macro_iou,selected_from_own_gt_boundary_f1,feature_set,method_dir,algorithm,prediction_name,method_key,peer_gt_source_path,prediction_path,prediction_rel_path,matching,gt_shape,n_gt_labels,n_pred_labels,pixel_accuracy,macro_precision,macro_recall,macro_iou,macro_boundary_f1,weighted_precision,weighted_recall,weighted_iou,weighted_boundary_f1
Img01,0.89015607942831,0.7011488609137884,xy_hsv,Half Resize PCA 95 Mean Shift,Mean Shift,Post Processed Img01-meanshift-0.8,xy_hsv | Half Resize PCA 95 Mean Shift | Post Processed Img01-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img01/mask.png,/mnt/data/work_input/outputs/Img01/xy_hsv/Half Resize PCA 95 Mean Shift/Post Processed Img01-meanshift-0.8.png,Img01/xy_hsv/Half Resize PCA 95 Mean Shift/Post Processed Img01-meanshift-0.8.png,many_to_one,321x481,2,43,0.9812436447950468,0.9716839804513864,0.9578058050303808,0.9317978427770712,0.7811982603451562,0.9716839804513864,0.9578058050303808,0.9317978427770712,0.7811982603451562
Img02,0.639040366997007,0.446411000218917,xy_lab,Half Resize PCA 95 Mean Shift,Mean Shift,Post Processed Img02.jpg-meanshift-0.8,xy_lab | Half Resize PCA 95 Mean Shift | Post Processed Img02.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img02/mask.png,/mnt/data/work_input/outputs/Img02/xy_lab/Half Resize PCA 95 Mean Shift/Post Processed Img02.jpg-meanshift-0.8.png,Img02/xy_lab/Half Resize PCA 95 Mean Shift/Post Processed Img02.jpg-meanshift-0.8.png,many_to_one,321x481,3,48,0.9540806082862158,0.9450617913670524,0.8363389558138017,0.792836846695621,0.5318665316882454,0.9331907925255658,0.9570952497068078,0.893997858271464,0.5633728281551772
Img03,0.9823250150012354,0.7869686855415522,hsv,Quarter Resize Mean Shift,Mean Shift,Post Processed Img03.jpg-meanshift-0.8,hsv | Quarter Resize Mean Shift | Post Processed Img03.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img03/mask.png,/mnt/data/work_input/outputs/Img03/hsv/Quarter Resize Mean Shift/Post Processed Img03.jpg-meanshift-0.8.png,Img03/hsv/Quarter Resize Mean Shift/Post Processed Img03.jpg-meanshift-0.8.png,many_to_one,481x321,4,7,0.9014384621861258,0.924284596969992,0.8559540764461101,0.7929589579090756,0.344057780807267,0.9058450105497854,0.8718362110810624,0.7906280319360033,0.3096314931889207
Img04,0.7951575886402268,0.5073078185589347,xy_lab,Sampled Mean Shift,Mean Shift,Post Processed Img04.jpg-meanshift-0.8,xy_lab | Sampled Mean Shift | Post Processed Img04.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img04/mask.png,/mnt/data/work_input/outputs/Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,many_to_one,417x626,8,40,0.9359758199829912,0.933170810577742,0.9647886926971544,0.9035015745341896,0.6145178741771915,0.9325682768289674,0.9674748536593036,0.9056122571395496,0.5982683094394683
Img05,0.9141042216954146,0.8552974975636494,lab,Sampled Mean Shift,Mean Shift,Post Processed Img05.jpg-meanshift-0.8,lab | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img05/mask.png,/mnt/data/work_input/outputs/Img05/lab/Sampled Mean Shift/Post Processed Img05.jpg-meanshift-0.8.png,Img05/lab/Sampled Mean Shift/Post Processed Img05.jpg-meanshift-0.8.png,many_to_one,259x389,3,4,0.9899554346855118,0.9530398577400224,0.970339538060961,0.926239921774135,0.9038293409446692,0.96262824732522,0.9712524722873832,0.936125746801412,0.8975793253165687
Img06,0.7077696358981715,0.5358696529099923,xy_lab,Quarter Resize Mean Shift,Mean Shift,Post Processed Img06.jpg-meanshift-1.5,xy_lab | Quarter Resize Mean Shift | Post Processed Img06.jpg-meanshift-1.5,/mnt/data/work_input/outputs/Peer GT/Img06/mask.png,/mnt/data/work_input/outputs/Img06/xy_lab/Quarter Resize Mean Shift/Post Processed Img06.jpg-meanshift-1.5.png,Img06/xy_lab/Quarter Resize Mean Shift/Post Processed Img06.jpg-meanshift-1.5.png,many_to_one,255x498,5,5,0.9720765414599576,0.956832194340597,0.9789800000739536,0.9371726164666008,0.7692675963976799,0.9574884476171516,0.9781643532654444,0.93696895370017,0.7609922889311038
Img07,0.957384366115374,0.8473353895256946,hsv,Half Resize PCA 95 Mean Shift,Mean Shift,Post Processed Img07.png-meanshift-1.5,hsv | Half Resize PCA 95 Mean Shift | Post Processed Img07.png-meanshift-1.5,/mnt/data/work_input/outputs/Peer GT/Img07/mask.png,/mnt/data/work_input/outputs/Img07/hsv/Half Resize PCA 95 Mean Shift/Post Processed Img07.png-meanshift-1.5.png,Img07/hsv/Half Resize PCA 95 Mean Shift/Post Processed Img07.png-meanshift-1.5.png,many_to_one,305x408,2,3,0.9889263902282224,0.9913513175971024,0.9664860586874467,0.9584050227897007,0.8327351701767114,0.9913513175971024,0.9664860586874467,0.9584050227897007,0.8327351701767114
Img08,0.9469637810458952,0.875061640991403,LAB_XY,Sampled Mean Shift,Mean Shift,Post Processed Img08-epanechnikov-0.5,LAB_XY | Sampled Mean Shift | Post Processed Img08-epanechnikov-0.5,/mnt/data/work_input/outputs/Peer GT/Img08/mask.png,/mnt/data/work_input/outputs/Img08/LAB_XY/Sampled Mean Shift/Post Processed Img08-epanechnikov-0.5.png,Img08/LAB_XY/Sampled Mean Shift/Post Processed Img08-epanechnikov-0.5.png,many_to_one,288x352,5,60,0.977410827020202,0.9695138037433636,0.95860806127967,0.9310240711058868,0.8885362709446478,0.9820637924269504,0.9702481761334028,0.953635753136815,0.9039159491095896
