algorithm,n_results,n_images,macro_precision,macro_recall,macro_iou,macro_boundary_f1,pixel_accuracy,weighted_iou
Mean Shift,314,10,0.6187579411737046,0.6262911308519238,0.5214093778022392,0.2853022613910554,0.7559073970576473,0.6043825583354027
KMeans,164,10,0.5295729137637262,0.5528710246885894,0.4536562130007453,0.20197710830702736,0.7400283591448128,0.5457365290224856
