algorithm,n_images,n_predictions,macro_precision,macro_recall,macro_iou,macro_boundary_f1,pixel_accuracy
KMeans,10,164,0.5643790189789716,0.5059497761259539,0.383111768618714,0.1792699920623425,0.5284518689918882
Mean Shift,10,314,0.6396172410526642,0.45283800777286237,0.3747227046915892,0.20657926655009284,0.503148051713786
