image_id,selected_from_own_gt_macro_iou,selected_from_own_gt_boundary_f1,feature_set,method_dir,algorithm,prediction_name,method_key,peer_gt_source_path,prediction_path,prediction_rel_path,matching,gt_shape,n_gt_labels,n_pred_labels,class_id,class_name,support_pixels,tp,fp,fn,precision,recall,iou,boundary_f1,included_in_macro_average
Img04,0.7951575886402268,0.5073078185589347,xy_lab,Sampled Mean Shift,Mean Shift,Post Processed Img04.jpg-meanshift-0.8,xy_lab | Sampled Mean Shift | Post Processed Img04.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img04/mask.png,/mnt/data/work_input/outputs/Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,many_to_one,417x626,8,40,2,corn kernels (#00ff00),21427,21061,1002,366,0.9545845986493224,0.9829187473748074,0.9390075348878684,0.7629889112204279,True
Img04,0.7951575886402268,0.5073078185589347,xy_lab,Sampled Mean Shift,Mean Shift,Post Processed Img04.jpg-meanshift-0.8,xy_lab | Sampled Mean Shift | Post Processed Img04.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img04/mask.png,/mnt/data/work_input/outputs/Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,many_to_one,417x626,8,40,3,cashew nuts (#4b0082),37310,34377,5372,2933,0.8648519459609046,0.9213883677298311,0.8054214891523359,0.34478595776229803,True
Img04,0.7951575886402268,0.5073078185589347,xy_lab,Sampled Mean Shift,Mean Shift,Post Processed Img04.jpg-meanshift-0.8,xy_lab | Sampled Mean Shift | Post Processed Img04.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img04/mask.png,/mnt/data/work_input/outputs/Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,many_to_one,417x626,8,40,4,1 (#9400d3),30301,29234,4864,1067,0.8573523373804915,0.9647866407049273,0.8313379781032276,0.36113407160593974,True
Img04,0.7951575886402268,0.5073078185589347,xy_lab,Sampled Mean Shift,Mean Shift,Post Processed Img04.jpg-meanshift-0.8,xy_lab | Sampled Mean Shift | Post Processed Img04.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img04/mask.png,/mnt/data/work_input/outputs/Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,many_to_one,417x626,8,40,5,2 (#ff0000),54864,54213,1570,651,0.9718552247100372,0.9881342957130359,0.9606442924478151,0.7428206503501248,True
Img04,0.7951575886402268,0.5073078185589347,xy_lab,Sampled Mean Shift,Mean Shift,Post Processed Img04.jpg-meanshift-0.8,xy_lab | Sampled Mean Shift | Post Processed Img04.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img04/mask.png,/mnt/data/work_input/outputs/Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,many_to_one,417x626,8,40,6,soy beans (#ff7f00),46964,45643,2354,1321,0.9509552680375857,0.9718720722255344,0.9254835962528895,0.619045585153155,True
Img04,0.7951575886402268,0.5073078185589347,xy_lab,Sampled Mean Shift,Mean Shift,Post Processed Img04.jpg-meanshift-0.8,xy_lab | Sampled Mean Shift | Post Processed Img04.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img04/mask.png,/mnt/data/work_input/outputs/Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,Img04/xy_lab/Sampled Mean Shift/Post Processed Img04.jpg-meanshift-0.8.png,many_to_one,417x626,8,40,7,kidney beans (#ffff00),25668,25087,544,581,0.978775701299208,0.9773648122175471,0.9570807263848619,0.7280156929601403,True
Img05,0.9141042216954146,0.8552974975636494,lab,Sampled Mean Shift,Mean Shift,Post Processed Img05.jpg-meanshift-0.8,lab | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img05/mask.png,/mnt/data/work_input/outputs/Img05/lab/Sampled Mean Shift/Post Processed Img05.jpg-meanshift-0.8.png,Img05/lab/Sampled Mean Shift/Post Processed Img05.jpg-meanshift-0.8.png,many_to_one,259x389,3,4,0,background_or_#000000,79010,78623,168,387,0.9978677767765354,0.9951018858372358,0.9929904771527445,0.8653479267423252,False
Img05,0.9141042216954146,0.8552974975636494,lab,Sampled Mean Shift,Mean Shift,Post Processed Img05.jpg-meanshift-0.8,lab | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img05/mask.png,/mnt/data/work_input/outputs/Img05/lab/Sampled Mean Shift/Post Processed Img05.jpg-meanshift-0.8.png,Img05/lab/Sampled Mean Shift/Post Processed Img05.jpg-meanshift-0.8.png,many_to_one,259x389,3,4,1,1 (#ff0000),7859,7600,675,259,0.918429003021148,0.9670441532001527,0.890555425357394,0.9263897908484605,True
Img05,0.9141042216954146,0.8552974975636494,lab,Sampled Mean Shift,Mean Shift,Post Processed Img05.jpg-meanshift-0.8,lab | Sampled Mean Shift | Post Processed Img05.jpg-meanshift-0.8,/mnt/data/work_input/outputs/Peer GT/Img05/mask.png,/mnt/data/work_input/outputs/Img05/lab/Sampled Mean Shift/Post Processed Img05.jpg-meanshift-0.8.png,Img05/lab/Sampled Mean Shift/Post Processed Img05.jpg-meanshift-0.8.png,many_to_one,259x389,3,4,2,2 (#ff7f00),13882,13516,169,366,0.9876507124588966,0.9736349229217692,0.961924418190876,0.881268891040878,True
Img06,0.7077696358981715,0.5358696529099923,xy_lab,Quarter Resize Mean Shift,Mean Shift,Post Processed Img06.jpg-meanshift-1.5,xy_lab | Quarter Resize Mean Shift | Post Processed Img06.jpg-meanshift-1.5,/mnt/data/work_input/outputs/Peer GT/Img06/mask.png,/mnt/data/work_input/outputs/Img06/xy_lab/Quarter Resize Mean Shift/Post Processed Img06.jpg-meanshift-1.5.png,Img06/xy_lab/Quarter Resize Mean Shift/Post Processed Img06.jpg-meanshift-1.5.png,many_to_one,255x498,5,5,0,background_or_#000000,66401,64178,840,2223,0.9870805007843981,0.9665215885302932,0.954447435344507,0.6656304106153934,False
